, Media,Compound,Date,Negative,Neutral,Positive,Tweets_Ago
480,nytimes,0.0,Mon Jan 08 07:03:35 +0000 2018,0.0,1.0,0.0,81
481,nytimes,-0.1695,Mon Jan 08 07:03:35 +0000 2018,0.18,0.702,0.118,82
482,nytimes,-0.3182,Mon Jan 08 07:03:35 +0000 2018,0.091,0.909,0.0,83
483,nytimes,0.4939,Mon Jan 08 07:03:35 +0000 2018,0.0,0.802,0.198,84
484,nytimes,0.0,Mon Jan 08 07:03:35 +0000 2018,0.0,1.0,0.0,85
485,nytimes,0.0,Mon Jan 08 07:03:33 +0000 2018,0.0,1.0,0.0,86
486,nytimes,0.0,Mon Jan 08 07:03:31 +0000 2018,0.0,1.0,0.0,87
487,nytimes,0.3818,Mon Jan 08 07:03:31 +0000 2018,0.0,0.885,0.115,88
488,nytimes,-0.5106,Mon Jan 08 07:03:31 +0000 2018,0.32,0.68,0.0,89
489,nytimes,-0.5122,Mon Jan 08 07:03:31 +0000 2018,0.212,0.788,0.0,90
490,nytimes,-0.4215,Mon Jan 08 07:03:30 +0000 2018,0.109,0.891,0.0,91
491,nytimes,0.0,Mon Jan 08 07:03:30 +0000 2018,0.0,1.0,0.0,92
492,nytimes,0.5719,Mon Jan 08 07:03:30 +0000 2018,0.0,0.861,0.139,93
493,nytimes,-0.5574,Mon Jan 08 07:03:29 +0000 2018,0.375,0.625,0.0,94
494,nytimes,0.0,Mon Jan 08 07:03:29 +0000 2018,0.0,1.0,0.0,95
495,nytimes,0.0,Mon Jan 08 07:03:28 +0000 2018,0.0,1.0,0.0,96
496,nytimes,-0.0516,Mon Jan 08 07:03:28 +0000 2018,0.239,0.606,0.155,97
497,nytimes,-0.4215,Mon Jan 08 07:03:27 +0000 2018,0.109,0.891,0.0,98
498,nytimes,0.0,Mon Jan 08 07:03:27 +0000 2018,0.0,1.0,0.0,99
499,nytimes,0.4767,Mon Jan 08 07:03:25 +0000 2018,0.0,0.795,0.205,100
